"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=generation&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:51:28 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","ALL","OBG","NG","AB","DFO","BLQ","WDS","BIT","RFO","WO","SLW","KER","TDF","SUN","PC","SUB","PG","OBL","OBS","WDL","LIG","WND","WAT","MSB","MSN","OTH","JF","LFG","OG"
"ReEnergy Lyonsdale Biomass",130148,"--","--","--","--","--",130148,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"ReEnergy Stratton LLC",349314,"--","--","--",0,"--",349314,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Red Shield Envir Old Town Facility",0,"--",0,"--","--",0,0,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riceland Foods Cogeneration Plant",43440,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",43440,"--","--","--","--","--","--","--","--","--","--"
"Richland Center Renewable Energy LLC",10028,10028,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Fresno",181084,"--",1430,"--","--","--",179654,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Bravo Rocklin",169051,"--",1549,"--","--","--",167502,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rio Grande Valley Sugar Growers",2192,"--",92,2075,25,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverside RWQCP Fuel Cell",3691,3293,398,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Riverwood International Macon Mill",468325,"--",11604,"--",0,244440,206022,0,0,543,5715,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Robbins Lumber",71,"--","--","--",71,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock Creek Dairy",13436,13436,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rock-Tenn Mill",228860,"--",16025,"--",265,185183,11178,16209,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Roseburg Forest Products Biomass",66013,"--","--","--","--","--",66013,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rothschild Biomass Cogen Facility",103075,"--",628,"--","--","--",102447,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Rumford Cogeneration",540682,"--","--","--",0,272914,67156,60312,4781,"--",6192,"--",129327,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ryegate Power Station",154782,"--","--","--","--","--",154782,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"S D Warren Westbrook",106259,"--","--","--",225,"--",61669,9511,590,"--","--","--","--","--","--","--","--","--","--","--","--","--",34264,"--","--","--","--","--","--"
"SDS Lumber Gorge Energy Division",7256,"--","--","--","--","--",7256,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SF Southeast Cogen Plant",2723,2723,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"SJ/SC WPCP",32039,21814,10141,"--",84,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,"--"
"SPI Anderson 2",121016,"--",131,"--","--","--",120885,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sappi Cloquet Mill",430795,"--",25329,"--",650,277599,94215,"--","--","--",3917,"--","--","--","--","--","--","--","--","--","--","--",29084,"--","--","--","--","--","--"
"Sauder Power Plant",30944,"--",198,"--","--","--",30746,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Savannah River Site Biomass Cogen",79020,"--","--","--",1083,"--",73353,"--","--","--","--","--",4584,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Schiller",376480,"--",370,"--",0,"--",307019,62817,4893,"--","--","--","--","--","--","--","--","--",1109,"--","--","--","--","--","--","--",272,"--","--"
"Scotia Co-gen Humboldt Redwood Company LLC",77181,"--","--","--",175,"--",77006,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Seneca Sustainable Energy LLC",118216,"--","--","--","--","--",118216,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Aberdeen",118696,"--","--","--","--","--",118696,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burlington Facility",172281,"--","--","--","--","--",172281,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Burney Facility",91026,"--","--","--","--","--",91026,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Lincoln Facility",81427,"--","--","--","--","--",81427,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Quincy Facility",110846,"--","--","--","--","--",110846,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Sierra Pacific Sonora",28438,"--","--","--","--","--",28438,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Silicon Valley Clean Water",5924,5309,615,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Snider Industries",12074,"--","--","--","--","--",12074,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Somerset Plant",507821,"--",39253,"--",29,289603,144650,"--",7345,"--",7387,"--",19253,"--","--","--","--",301,"--","--","--","--","--","--","--","--","--","--","--"
"Sonoco Products Co",150851,"--",4530,"--","--","--",133131,13190,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Bay Fuel Cell Plant",5561,4402,1159,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South Columbus Water Resource Facility",3218,3218,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"South District Wastewater Treatment Plt",19752,12654,6329,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",770,"--"
"Southampton Power Station",296083,"--","--","--",1218,"--",294865,0,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Southside Water Reclamation Plant",36512,16958,19553,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Springfield Power LLC",139436,"--","--","--","--","--",139436,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Francisville Mill",112142,"--",1385,"--","--",110757,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"St Paul Cogeneration",153880,"--",24046,0,"--","--",129834,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stockton Biomass",349636,"--",613,"--",0,"--",349023,0,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Stoltze CoGen1",20150,"--","--","--","--","--",20150,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Subregional Water Reclamation Facility",11057,9501,1556,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Synergy Biogas",3722,3722,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Tamarack Energy Partnership",26306,"--","--","--","--","--",26306,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Telogia Power",102074,"--","--","--","--","--",102074,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Thermal Energy Development Part LP",0,"--",0,0,"--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Threemile Digester",15462,15462,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Ticonderoga Mill",222204,"--",88361,"--","--",95944,8090,"--",29809,"--","--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--",0
"Total Energy Facilities",153901,152428,1473,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"U S Alliance Coosa Pines",134783,"--",38931,"--",0,95852,"--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"UCSD Fuel Cell Plant",15150,12359,2791,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Verso Paper Quinnesec Mich Mill",345091,"--",10337,"--","--",221600,112944,209,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Verwey-Hanford Dairy Digester #1",1809,1809,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Lincoln",144203,"--",41,"--","--","--",119125,"--","--","--","--","--",25036,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of McBain",144717,"--",354,"--","--","--",114498,"--","--","--","--","--",29865,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Viking Energy of Northumberland",0,"--",0,"--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Village Creek Water Reclamation Facility",35102,12298,173,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",22632,"--"
"Virginia",130916,"--",22076,"--","--","--",56831,"--","--","--","--","--","--","--","--",52009,"--","--","--","--","--","--","--","--","--","--","--","--","--"
"WWTP Power Generation Station",20637,20418,0,"--",219,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wadham Energy LP",196433,"--",259,196174,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Warren Lumber Mill",0,"--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Water Reclamation Plant",3692,3687,4,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"West Point Treatment Plant",15744,15744,0,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (TX)",446859,"--",59438,"--",0,282265,105156,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock (WA)",339446,"--",4361,"--",0,223614,110295,"--",0,1175,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock Panama City Mill",252692,"--",36251,"--","--",159587,37577,12372,6905,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"WestRock-West Point Mill",588095,"--",170172,"--",739,267632,121283,22501,826,"--",4942,"--","--","--","--","--","--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Westervelt Moundville Cogen",39791,"--","--","--","--","--",39791,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Weyerhaeuser Pine Hill Operations",476045,"--",48494,"--",0,228426,197635,155,1335,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wheelabrator Ridge Energy",175444,"--","--","--","--","--",155707,"--","--","--","--","--",16885,"--","--","--","--","--","--","--","--","--","--","--","--","--","--",2852,"--"
"Wheelabrator Shasta",326937,"--",0,0,"--","--",326937,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Windy Ridge Generating Facility",11227,11227,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin Rapids Pulp Mill",295178,"--",35418,"--","--",160075,45016,"--","--","--","--","--","--","--","--",54670,"--",0,"--","--","--","--","--","--","--","--","--","--","--"
"Woodland Biomass Power Ltd",191424,"--",513,"--","--","--",190911,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Woodville Renewable Power Project",18752,"--","--","--","--","--",18752,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Wooster Renewable Energy",4490,4490,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Zeeland Farm Services",11642,11642,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Zero Waste Energy Development Co LLC",5989,5989,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--" 
