"Plants for multiple sectors,multiple states,multiple primary technologys"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,5&pt=0000g8&pm=&sec=vvo&geo=vvvvvvvvvvvvo&wd=&ws=&wsn=&wt=&freq=A&datecode=2016&tab=overview&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Mon Jan 29 2018 14:57:38 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","Plant Code","State","Sector Name","Prime Movers","Fuel Types","Primary Technology"
"Kaiser Ontario",58132,"CA","IPP Non-CHP","FC","OBG","Other Waste Biomass"
"KapStone Kraft Paper Corp",50254,"NC","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Kapstone",7737,"SC","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"Kaukauna Paper Mill",54098,"WI","Industrial CHP","ST","BIT, BLQ","Multiple"
"Kentucky Mills",55429,"KY","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Kettle Falls Generating Station",550,"WA","Electric Utility","GT, ST","NG, WDS","Multiple"
"Kishwaukee CHP Plant",58177,"IL","IPP CHP","IC","OBG","Other Waste Biomass"
"Koda Biomass Plant",57119,"MN","IPP CHP","ST","AB","Other Waste Biomass"
"Leaf River Cellulose LLC",10233,"MS","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Lignetics of Maine, LLC.",55034,"ME","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Longview Fibre",54562,"WA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Lumberton",10382,"NC","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"M L Hibbard",1897,"MN","Commercial CHP","ST","WDS","Wood/Wood Waste Biomass"
"MCLB Landfill Gas to Energy",59335,"GA","IPP CHP","IC","OBG","Other Waste Biomass"
"MMSD South Shore Wastewater",55525,"WI","Commercial CHP","IC","OBG","Other Waste Biomass"
"Manitowoc",4125,"WI","Electric Utility","IC, ST","NG, PC, WDS","Multiple"
"Mansfield Mill",54091,"LA","Industrial CHP","GT, ST","BLQ, NG","Multiple"
"Marlboro Mill",57470,"SC","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"McMinnville",55928,"TN","Electric Utility","IC","DFO, OBL","Multiple"
"Mead Coated Board",54802,"AL","Industrial CHP","GT, ST","BLQ, NG","Multiple"
"Medford Operation",56193,"OR","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Mesquite Lake Energy Park Plant 2",50363,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Mesquite Lake Water & Power Plant 1",57154,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Metro Wastewater Reclamation District",10180,"CO","IPP CHP","GT, IC","OBG","Other Waste Biomass"
"Middlebury College",57804,"VT","Commercial CHP","ST","WDS","Wood/Wood Waste Biomass"
"MillerCoors Irwindale Brewery",58056,"CA","Industrial Non-CHP","GT, IC, PV","NG, OBG, SUN","Multiple"
"MillerCoors Shenandoah Brewery",58057,"VA","Industrial Non-CHP","GT","OBG","Other Waste Biomass"
"Missouri River Wastewater Treatment",55033,"NE","Commercial CHP","IC","OBG","Other Waste Biomass"
"Mobile Energy Services LLC",50407,"AL","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Monterey Regional Water Cogen Facility",54951,"CA","Commercial CHP","IC","OBG","Other Waste Biomass"
"Mt Lassen Power",54468,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Mt Poso Cogeneration",54626,"CA","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Multitrade Rabun Gap, LLC",50201,"GA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Multitrade of Pittsylvania LP",52118,"VA","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"NPI USA Cogeneration Plant",58352,"WA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Nacogdoches Power",55708,"TX","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Napoleon Biogas",58921,"OH","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Nippon Dynawave Packaging Longview WA",50187,"WA","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Novo BioPower Plant",56616,"AZ","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Okeelanta Cogeneration",54627,"FL","IPP CHP","ST","AB","Other Waste Biomass"
"Orbit Energy Charlotte",58638,"NC","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Oshkosh Foundation Rosedale Biodigester LLC",58555,"WI","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Oxnard Wastewater Treatment Plant",50224,"CA","Commercial CHP","IC","OBG","Other Waste Biomass"
"P H Glatfelter",50397,"PA","Industrial CHP","ST","BIT, BLQ","Multiple"
"P H Glatfelter Co -Chillicothe Facility",10244,"OH","Industrial CHP","ST","BIT, BLQ","Multiple"
"PCA-Valdosta Mill",60084,"GA","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"PInova Inc",10120,"GA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"POTB Digester",58591,"OR","Electric Utility","IC","OBG","Other Waste Biomass"
"PWD Northeast WPCP Biogas Cogen Plant",58326,"PA","Commercial Non-CHP","IC","OBG","Other Waste Biomass"
"Pacific Oroville Power Inc",54469,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Pacific Rim Dairy Digester",59447,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Pacific-Ultrapower Chinese Station",50560,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Packaging Corp of America",50296,"TN","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Papillion Creek Wastewater",55027,"NE","Commercial CHP","IC","OBG","Other Waste Biomass"
"Piedmont Green Power",57909,"GA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Pine Bluff Mill",10627,"AR","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Pinetree Power",50208,"NH","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Pinetree Power Fitchburg",54620,"MA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Pinetree Power Tamworth",50739,"NH","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Plainfield Renewable Energy LLC",56847,"CT","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Plant 31 Paper Mill",50028,"LA","Industrial CHP","GT, ST","BLQ, NG","Multiple"
"Plant No 1 Orange County",50696,"CA","Commercial CHP","IC","OBG","Other Waste Biomass"
"Plant No 2 Orange County",52099,"CA","Commercial CHP","IC, ST","OBG","Other Waste Biomass"
"Plummer Cogen",55090,"ID","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Port Townsend Paper",50544,"WA","Industrial CHP","HY, ST","BLQ, WAT","Multiple"
"Port Wentworth Mill",50804,"GA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Power Generation Station (PGS) 2",57696,"CA","Commercial CHP","GT","OBG","Other Waste Biomass"
"Pulp Mill Power House",10074,"CA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Rapids Energy Center",10686,"MN","Electric Utility","HY, ST","WAT, WDS","Multiple"
"Rayonier Advanced Materials - Jesup Plant",10560,"GA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"ReEnergy Ashland",10356,"ME","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"ReEnergy Black River",10464,"NY","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"ReEnergy Fort Fairfield",7513,"ME","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"ReEnergy Livermore Falls",10354,"ME","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"ReEnergy Lyonsdale Biomass",54526,"NY","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"ReEnergy Stratton LLC",50650,"ME","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Red Shield Envir Old Town Facility",10700,"ME","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Riceland Foods Cogeneration Plant",56079,"AR","IPP CHP","ST","OBS","Other Waste Biomass"
"Richland Center Renewable Energy LLC",58834,"WI","IPP CHP","IC","OBG","Other Waste Biomass"
"Rio Bravo Fresno",10767,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Rio Bravo Rocklin",10772,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Rio Grande Valley Sugar Growers",54338,"TX","Industrial CHP","IC, ST","AB, DFO","Multiple"
"Riverside RWQCP Fuel Cell",59877,"CA","Commercial CHP","FC","OBG","Other Waste Biomass"
"Riverwood International Macon Mill",54464,"GA","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Robbins Lumber",50230,"ME","Industrial CHP","IC, ST","DFO, WDS","Multiple"
"Rock Creek Dairy",58142,"ID","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Rock-Tenn Mill",54763,"AL","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Roseburg Forest Products Biomass",56469,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Rothschild Biomass Cogen Facility",58124,"WI","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"Rumford Cogeneration",10495,"ME","IPP CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Ryegate Power Station",51026,"VT","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"S D Warren Westbrook",50447,"ME","Industrial CHP","HY, ST","WAT, WDS","Multiple"
"SDS Lumber Gorge Energy Division",50231,"WA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"SF Southeast Cogen Plant",57971,"CA","Commercial Non-CHP","IC","OBG","Other Waste Biomass"
"SJ/SC WPCP",56080,"CA","Commercial CHP","IC","NG, OBG","Multiple"
"SPI Anderson 2",59658,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sappi Cloquet Mill",50639,"MN","Industrial CHP","HY, ST","BLQ, WAT, WDS","Multiple"
"Sauder Power Plant",54974,"OH","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Savannah River Site Biomass Cogen",57138,"SC","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Schiller",2367,"NH","Electric Utility","GT, ST","BIT, JF, WDS","Multiple"
"Scotia Co-gen Humboldt Redwood Company LLC",50049,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Seneca Sustainable Energy LLC",57457,"OR","Industrial Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Shasta Renewable Resources Plant",57857,"CA","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sierra Pacific Aberdeen",55882,"WA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sierra Pacific Burlington Facility",56406,"WA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sierra Pacific Burney Facility",50110,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sierra Pacific Lincoln Facility",10144,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sierra Pacific Loyalton Facility",50111,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sierra Pacific Quincy Facility",50112,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Sierra Pacific Sonora",54517,"CA","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Silicon Valley Clean Water",60249,"CA","IPP CHP","IC","OBG","Other Waste Biomass"
"Snider Industries",50141,"TX","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Somerset Plant",50406,"ME","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Sonoco Products Co",57919,"SC","Industrial CHP","ST","BIT, NG, WDS","Multiple"
"South Bay Fuel Cell Plant",57770,"CA","IPP Non-CHP","FC","OBG","Other Waste Biomass"
"South Columbus Water Resource Facility",57076,"GA","Commercial CHP","IC","OBG","Other Waste Biomass"
"South District Wastewater Treatment Plt",54624,"FL","Commercial CHP","IC","OBG","Other Waste Biomass"
"Southampton Power Station",10774,"VA","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"Southside Water Reclamation Plant",10339,"NM","IPP CHP","IC","NG, OBG","Multiple"
"Springfield Power LLC",10838,"NH","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"St Francisville Mill",10697,"LA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"St Paul Cogeneration",56643,"MN","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Stockton Biomass",54238,"CA","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Stoltze CoGen1",58523,"MT","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Subregional Water Reclamation Facility",58960,"CA","Commercial CHP","IC","OBG","Other Waste Biomass"
"Synergy Biogas",58399,"NY","Commercial Non-CHP","IC","OBG","Other Waste Biomass"
"Tamarack Energy Partnership",50099,"ID","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Telogia Power",50774,"FL","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Thermal Energy Development Part LP",10502,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Threemile Digester",58382,"OR","IPP CHP","IC","OBG","Other Waste Biomass"
"Ticonderoga Mill",54099,"NY","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Total Energy Facilities",10091,"CA","Commercial CHP","CA, CT","OBG","Other Waste Biomass"
"U S Alliance Coosa Pines",54216,"AL","Industrial CHP","ST","BLQ, NG","Multiple"
"UCSD Fuel Cell Plant",57735,"CA","IPP Non-CHP","FC","OBG","Other Waste Biomass"
"Verso Paper Quinnesec Mich Mill",50251,"MI","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Verwey-Hanford Dairy Digester #1",60918,"CA","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Viking Energy of Lincoln",50772,"MI","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Viking Energy of McBain",50770,"MI","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Viking Energy of Northumberland",50771,"PA","IPP CHP","ST","WDS","Wood/Wood Waste Biomass"
"Village Creek Water Reclamation Facility",54520,"TX","Commercial CHP","GT, IC","NG, OBG","Multiple"
"Virginia",2018,"MN","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"WWTP Power Generation Station",56036,"CA","Commercial CHP","IC","OBG","Other Waste Biomass"
"Wadham Energy LP",50293,"CA","IPP Non-CHP","ST","AB","Other Waste Biomass"
"Warren Lumber Mill",50640,"AR","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Water Reclamation Plant",58617,"MN","Commercial CHP","IC","OBG","Other Waste Biomass"
"West Point Treatment Plant",50329,"WA","Commercial CHP","IC","OBG","Other Waste Biomass"
"WestRock (TX)",50101,"TX","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"WestRock (WA)",57099,"WA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"WestRock Panama City Mill",50807,"FL","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"WestRock-West Point Mill",10017,"VA","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Western Renewable Energy",56358,"AZ","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Westervelt Moundville Cogen",57467,"AL","Industrial CHP","ST","WDS","Wood/Wood Waste Biomass"
"Weyerhaeuser Pine Hill Operations",54752,"AL","Industrial CHP","ST","BLQ, WDS","Wood/Wood Waste Biomass"
"Wheelabrator Ridge Energy",54529,"FL","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Wheelabrator Shasta",50881,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Windy Ridge Generating Facility",58055,"IN","Industrial Non-CHP","IC","OBG","Other Waste Biomass"
"Wisconsin Rapids Pulp Mill",10477,"WI","Industrial CHP","ST","BLQ","Wood/Wood Waste Biomass"
"Woodland Biomass Power Ltd",10836,"CA","IPP Non-CHP","ST","WDS","Wood/Wood Waste Biomass"
"Woodville Renewable Power Project",58944,"TX","Electric Utility","ST","WDS","Wood/Wood Waste Biomass"
"Wooster Renewable Energy",59072,"OH","Industrial Non-CHP","IC","OBG","Other Waste Biomass"
"Zeeland Farm Services",58704,"MI","IPP Non-CHP","IC","OBG","Other Waste Biomass"
"Zero Waste Energy Development Co LLC",60220,"CA","IPP CHP","IC","OBG","Other Waste Biomass" 
